globaleventid,sqldate,monthyear,year,fractiondate,actor1code,actor1name,actor1countrycode,actor1knowngroupcode,actor1ethniccode,actor1religion1code,actor1religion2code,actor1type1code,actor1type2code,actor1type3code,actor2code,actor2name,actor2countrycode,actor2knowngroupcode,actor2ethniccode,actor2religion1code,actor2religion2code,actor2type1code,actor2type2code,actor2type3code,isrootevent,eventcode,eventbasecode,eventrootcode,quadclass,goldsteinscale,nummentions,numsources,numarticles,avgtone,actor1geo_type,actor1geo_fullname,actor1geo_countrycode,actor1geo_adm1code,actor1geo_lat,actor1geo_long,actor1geo_featureid,actor2geo_type,actor2geo_fullname,actor2geo_countrycode,actor2geo_adm1code,actor2geo_lat,actor2geo_long,actor2geo_featureid,actiongeo_type,actiongeo_fullname,actiongeo_countrycode,actiongeo_adm1code,actiongeo_lat,actiongeo_long,actiongeo_featureid,dateadded,sourceurl,cameoeventcode,cameoevent,cameobaseeventcode,cameobaseevent,cameorooteventcode,cameorootevent
459397379,20150820,201508,2015,2015.6301,EDU,STUDENT,,,,,,EDU,,,,,,,,,,,,,1,13,13,1,1,0.4,2,1,2,1.56555773,3,"Cape Elizabeth, Maine, United States",US,USME,43.5637,-70.2001,563469,0,,,,,,,3,"Cape Elizabeth, Maine, United States",US,USME,43.5637,-70.2001,563469,20150820,http://bangordailynews.com/2015/08/19/news/portland/south-portland-based-virtual-charter-school-grows/,13,Make optimistic comment,13,Make optimistic comment,1,MAKE PUBLIC STATEMENT
459527767,20150820,201508,2015,2015.6301,CAN,CANADA,CAN,,,,,,,,,,,,,,,,,,1,13,13,1,1,0.4,2,1,2,4.814004376,4,"Powell River, British Columbia, Canada",CA,CA02,49.8833,-124.55,-571674,0,,,,,,,4,"Powell River, British Columbia, Canada",CA,CA02,49.8833,-124.55,-571674,20150820,http://www.prpeak.com/articles/2015/08/20/community/arts/doc55d3e661d31e5540566446.txt,13,Make optimistic comment,13,Make optimistic comment,1,MAKE PUBLIC STATEMENT
493119360,20151210,201512,2015,2015.9315,GOV,PRIME MINISTER,,,,,,GOV,,,SWE,SWEDE,SWE,,,,,,,,1,13,13,1,1,0.4,3,1,3,-6.476938175,4,"Copenhagen, Køavn*, Denmark",DA,DA05,55.6667,12.5833,-2745636,4,"Oresund, Vasterbotten, Sweden",SW,SW23,63.4167,19.5,-2510164,4,"Oresund, Vasterbotten, Sweden",SW,SW23,63.4167,19.5,-2510164,20151210,https://www.rt.com/news/325535-sweden-denmark-refugee-policy/,13,Make optimistic comment,13,Make optimistic comment,1,MAKE PUBLIC STATEMENT
506285279,20160128,201601,2016,2016.0767,AFG,AFGHANISTAN,AFG,,,,,,,,COP,DETECTIVE,,,,,,COP,,,1,13,13,1,1,0.4,1,1,1,-0.92879257,1,Afghanistan,AF,AF,33,65,AF,1,Afghanistan,AF,AF,33,65,AF,1,Afghanistan,AF,AF,33,65,AF,20160128,http://www.beckershospitalreview.com/hospital-physician-relationships/va-surgeon-s-body-found-in-spokane-river.html,13,Make optimistic comment,13,Make optimistic comment,1,MAKE PUBLIC STATEMENT
519750665,20160209,201602,2016,2016.1068,BUS,CORPORATION,,,,,,BUS,,,USAMED,REUTERS,USA,,,,,MED,,,1,13,13,1,1,0.4,5,4,5,-1.163322242,1,China,CH,CH,35,105,CH,4,"Tindouf, Tindouf, Algeria",AG,AG54,27.6711,-8.14744,-489674,4,"Tindouf, Tindouf, Algeria",AG,AG54,27.6711,-8.14744,-489674,20160310,http://www.zawya.com/story/Algeria_in_talks_with_China_over_iron_mining_project-TR20160310nL5N16I2TRX2/,13,Make optimistic comment,13,Make optimistic comment,1,MAKE PUBLIC STATEMENT
521843823,20160317,201603,2016,2016.211,SYR,SYRIA,SYR,,,,,,,,CHE,GENEVA,CHE,,,,,,,,0,17,17,1,1,0,1,1,1,-1.612903226,1,Israel,IS,IS,31.5,34.75,IS,1,Syria,SY,SY,35,38,SY,1,Israel,IS,IS,31.5,34.75,IS,20160317,http://quadrangleonline.com/2016/03/17/kerry-to-visit-russia-sees-best-chance-to-end-syria-war/,17,Engage in symbolic act,17,Engage in symbolic act,1,MAKE PUBLIC STATEMENT
528294910,20160407,201604,2016,2016.2658,USA,ATLANTA,USA,,,,,,,,GOV,PRESIDENT,,,,,,GOV,,,1,13,13,1,1,0.4,5,1,5,1.710730949,3,"Atlanta, Georgia, United States",US,USGA,33.749,-84.388,351615,2,"Georgia, United States",US,USGA,0,0,GA,2,"Georgia, United States",US,USGA,0,0,GA,20160407,http://politic365.com/2011/07/12/hbcus-ready-to-get-the-word-out-on-stem-education/,13,Make optimistic comment,13,Make optimistic comment,1,MAKE PUBLIC STATEMENT
539452035,20160512,201605,2016,2016.3616,LEG,CONGRESS,,,,,,LEG,,,GOV,PRIME MINISTER,,,,,,GOV,,,0,13,13,1,1,0.4,2,1,2,-1.554404145,5,"Uttarakhand, Uttaranchal, India",IN,IN39,30.25,79.25,6240779,5,"Uttarakhand, Uttaranchal, India",IN,IN39,30.25,79.25,6240779,5,"Uttarakhand, Uttaranchal, India",IN,IN39,30.25,79.25,6240779,20160512,http://www.punemirror.in/news/india/Rawat-govt-returns-Congress-is-jubilant/articleshow/52228882.cms,13,Make optimistic comment,13,Make optimistic comment,1,MAKE PUBLIC STATEMENT
539497465,20160512,201605,2016,2016.3616,GOV,STATE OFFICIAL,,,,,,GOV,,,JUD,LAWYER,,,,,,JUD,,,0,13,13,1,1,0.4,6,1,6,-6.720977597,2,"Utah, United States",US,USUT,40.1135,-111.854,UT,2,"Utah, United States",US,USUT,40.1135,-111.854,UT,2,"Utah, United States",US,USUT,40.1135,-111.854,UT,20160512,http://www.scmp.com/news/world/united-states-canada/article/1944032/when-do-foetuses-feel-pain-question-puts-utah,13,Make optimistic comment,13,Make optimistic comment,1,MAKE PUBLIC STATEMENT
553322372,20160623,201606,2016,2016.474,HLH,DOCTOR,,,,,,HLH,,,USA,UNITED STATES,USA,,,,,,,,1,13,13,1,1,0.4,2,1,2,0,2,"Nebraska, United States",US,USNE,41.1289,-98.2883,NE,2,"Nebraska, United States",US,USNE,41.1289,-98.2883,NE,2,"Nebraska, United States",US,USNE,41.1289,-98.2883,NE,20160623,http://www.ems1.com/fire-ems/articles/101853048-Neb-firefighter-EMT-awaits-double-lung-transplant/,13,Make optimistic comment,13,Make optimistic comment,1,MAKE PUBLIC STATEMENT
553347489,20160623,201606,2016,2016.474,USA,UNITED STATES,USA,,,,,,,,LEG,LAWMAKER,,,,,,LEG,,,0,13,13,1,1,0.4,2,1,2,-3.007518797,3,"Longview, Washington, United States",US,USWA,46.1382,-122.938,1506304,3,"Longview, Washington, United States",US,USWA,46.1382,-122.938,1506304,3,"Longview, Washington, United States",US,USWA,46.1382,-122.938,1506304,20160623,http://www.kltv.com/story/32294114/lewis-who-shed-blood-for-civil-rights-leads-dems-on-guns,13,Make optimistic comment,13,Make optimistic comment,1,MAKE PUBLIC STATEMENT
429637047,20140430,201404,2014,2014.3288,IRL,IRISH,IRL,,,,,,,,RWABUS,KIGALI,RWA,,,,,BUS,,,0,57,57,5,1,8,24,3,24,0.707546572,1,Ireland,EI,EI,53,-8,EI,4,"Kigali, (RW09), Rwanda",RW,RW09,-1.95361,30.0606,-2181358,4,"Kigali, (RW09), Rwanda",RW,RW09,-1.95361,30.0606,-2181358,20150430,http://www.spyghana.com/rwanda-to-export-irish-potatoes-to-zambia-south-sudan/,57,Sign formal agreement,57,Sign formal agreement,5,ENGAGE IN DIPLOMATIC COOPERATION
433212258,20150514,201505,2015,2015.3671,NGA,NIGERIA,NGA,,,,,,,,COP,POLICE,,,,,,COP,,,1,13,13,1,1,0.4,3,1,3,-3.174603175,5,"Delta State, Delta, Nigeria",NI,NI36,5.5,6,29267,5,"Delta State, Delta, Nigeria",NI,NI36,5.5,6,29267,5,"Delta State, Delta, Nigeria",NI,NI36,5.5,6,29267,20150514,http://pulse.ng/gist/wrong-ambition-tinubu-docked-for-duping-job-seekers-on-facebook-id3756700.html,13,Make optimistic comment,13,Make optimistic comment,1,MAKE PUBLIC STATEMENT
436780190,20150528,201505,2015,2015.4055,BUS,BUSINESS,,,,,,BUS,,,,,,,,,,,,,0,13,13,1,1,0.4,5,1,5,1.240135287,4,"Toronto, Ontario, Canada",CA,CA08,43.6667,-79.4167,-574890,0,,,,,,,4,"Toronto, Ontario, Canada",CA,CA08,43.6667,-79.4167,-574890,20150528,http://www.canadianmanufacturing.com/manufacturing/canadas-trade-growth-to-return-to-pre-recession-levels-says-hsbc-148943/,13,Make optimistic comment,13,Make optimistic comment,1,MAKE PUBLIC STATEMENT
445419469,20150702,201507,2015,2015.4986,GOV,GOVERNMENT,,,,,,GOV,,,JUD,SUPREME COURT,,,,,,JUD,,,1,13,13,1,1,0.4,4,1,4,0,4,"Bengaluru, Karnataka, India",IN,IN19,12.9833,77.5833,-2090174,4,"Bengaluru, Karnataka, India",IN,IN19,12.9833,77.5833,-2090174,4,"Bengaluru, Karnataka, India",IN,IN19,12.9833,77.5833,-2090174,20150702,http://www.thehindu.com/news/national/other-states/sc-what-prevents-holding-of-bbmp-polls-at-the-earliest/article7376557.ece,13,Make optimistic comment,13,Make optimistic comment,1,MAKE PUBLIC STATEMENT
447641156,20150709,201507,2015,2015.5178,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,0,17,17,1,1,0,14,7,14,-2.224514583,2,"South Carolina, United States",US,USSC,33.8191,-80.9066,SC,0,,,,,,,3,"Charleston, South Carolina, United States",US,USSC,32.7766,-79.9309,1221516,20150709,http://gantdaily.com/2015/07/09/jenny-hornes-tearful-confederate-flag-speech-shakes-s-c-state-house/,17,Engage in symbolic act,17,Engage in symbolic act,1,MAKE PUBLIC STATEMENT
